202	0
204	0
206	0
208	0
210	0
212	0
214	0
216	0
218	0
220	0
222	0
224	0
226	0
228	0
230	0
232	0
234	0
236	0
238	0
240	0
242	0
244	0
246	0
248	0
250	0
252	0
254	0
256	0
258	0
260	0
262	0
264	0
266	0
268	0
270	0
272	0
274	0
276	0
278	0
280	0
282	0
284	0
286	0
288	0
290	0
292	0
294	0
296	0
298	0
300	0
302	0
304	1
306	2
308	3
310	4
312	5
314	6
316	7
318	8
320	9.79
322	10.25
324	12.7
326	14.38
328	15
329	16.22
331	16.83
332	18.06
332	18.06
333	19.28
335	19.89
336	20.97
338	21.58
339	22.19
340	22.8
343	23.41
345	24.03
346	24.49
349	25.1
352	25.56
356	26.02
358	26.47
364	26.93
368	27.24
372	27.7
375	28.16
378	28.62
382	29.08
385	29.69
388	30.15
390	30.61
393	31.22
397	31.68
400	32.14
404	32.44
409	32.9
413	33.21
418	33.67
423	33.97
427	34.28
432	34.59
436	34.89
442	35.04
448	35.04
453	35.04
459	34.89
464	34.89
468	34.59
474	34.28
480	33.97
484	33.67
488	33.36
494	33.05
498	32.75
502	32.29
506	31.98
510	31.52
514	31.22
519	30.76
523	30.3
527	29.84
530	29.54
534	29.08
538	28.62
542	28.16
546	27.85
551	27.39
553	26.93
558	26.47
562	26.17
566	25.71
569	25.25
573	24.79
577	24.33
581	23.87
585	23.41
588	23.11
592	22.65
597	22.19
601	21.73
605	21.27
609	20.81
612	20.51
616	20.05
620	19.59
624	19.28
629	18.82
633	18.36
637	18.06
641	17.6
645	17.14
649	16.83
654	16.37
658	16.07
662	15.76
668	15.3
672	15
676	14.54
680	14.23
684	13.93
690	13.62
694	13.16
700	13.01
704	12.55
708	12.24
713	11.94
718	11.63
723	11.32
727	11.02
733	10.71
737	10.41
743	10.25
747	9.95
752	9.64
757	9.33
762	9.18
768	8.88
772	8.57
777	8.26
782	7.96
787	7.8
793	7.5
797	7.19
803	7.04
808	6.73
812	6.58
818	6.27
823	6.12
828	5.82
833	5.66
839	5.36
843	5.2
848	5.05
854	4.74
860	4.59
865	4.44
869	4.13
875	3.98
881	3.83
886	3.67
890	3.37
896	3.21
900	3

